==113054== NVPROF is profiling process 113054, command: ./gpu3 15 16384 2048 32
kernel completed, verifying


Success:
 N	Teams	TeamS	VL	ele/VL	exec_time(s)	FLOPS
15	2048	32	8	1	0.000275	4.015007e+11

==113054== Profiling application: ./gpu3 15 16384 2048 32
==113054== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.54384s  251.90us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [524]
1.58416s  3.6896ms                    -               -         -         -         -  28.125MB  7.4441GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.58801s  3.7267ms                    -               -         -         -         -  28.125MB  7.3700GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.59181s  108.22us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [543]
1.59195s  252.41us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [556]
1.63181s  3.6842ms                    -               -         -         -         -  28.125MB  7.4550GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.63564s  3.7566ms                    -               -         -         -         -  28.125MB  7.3114GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.63947s  107.58us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [575]
1.63961s  251.36us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [588]
1.67810s  3.5271ms                    -               -         -         -         -  28.125MB  7.7870GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.68177s  3.5401ms                    -               -         -         -         -  28.125MB  7.7585GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
